Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
1975;Hamburg-Fuhlsbüttel;10;53.63;12;;19360101;19461031;Schneepegel;Schneehöhenmessung, manuell;eor;
1975;Hamburg-Fuhlsbüttel;10;53.64;11.7;;19461101;19680711;Schneepegel;Schneehöhenmessung, manuell;eor;
1975;Hamburg-Fuhlsbüttel;10;53.64;13;;19680712;19950904;Schneepegel;Schneehöhenmessung, manuell;eor;
1975;Hamburg-Fuhlsbüttel;9.99;53.63;11;;19950905;20080531;Schneepegel;Schneehöhenmessung, manuell;eor;
1975;Hamburg-Fuhlsbüttel;9.99;53.63;10.65;;20080601;20220531;Schneepegel;Schneehöhenmessung, manuell;eor;
1975;Hamburg-Fuhlsbüttel;9.99;53.63;10.65;2.3;20210401;20231128;Schneehöhensensor SHM 30;Schneehöhenmessung, elektr.;eor;
1975;Hamburg-Fuhlsbüttel;9.99;53.63;10.65;2.3;20231205;20240828;Schneehöhensensor SHM 30;Schneehöhenmessung, elektr.;eor;
1975;Hamburg-Fuhlsbüttel;9.99;53.63;10.65;2.3;20240829;20250506;Schneehöhensensor SHM 31;Schneehöhenmessung, elektr.;eor;
generiert: 15.05.2025 --  Deutscher Wetterdienst  --
